Business Name,price,product_name,quantity,Retailer Id,sku,status
New Arora Electronics,46125,"3d cool purafresh 1.5 ton, 3 star (2018) inverter air conditioner (copper) (1.5 t)",10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C66FFC07A943WHI,ACTIVE
New Arora Electronics,51390,hitachi merai 3100x rsd318hbea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C585C9B7A611,ACTIVE
New Arora Electronics,49090,hitachi merai 3100s rsd317hbea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C585CE97A819,ACTIVE
New Arora Electronics,52990,hitachi merai 4100x rsd418hbea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C585D4D7A154,ACTIVE
New Arora Electronics,39190,hitachi toushi 3100s rsf312hbeaw,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C585D207A094,ACTIVE
New Arora Electronics,62390,hitachi kashikoi 5100x+ rmb518hbeap,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C585F167A651,ACTIVE
New Arora Electronics,26490,hitachi kaze plus eco raw318kxdai,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C586C4B7A009,ACTIVE
New Arora Electronics,34290,hitachi kaze plus raw222kud,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C586C8E7A026,ACTIVE
New Arora Electronics,74390,hitachi kashikoi 5200x hp rmb422abxa,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C586E1C7A688,ACTIVE
New Arora Electronics,54190,hitachi kashikoi 3300x rsb318ibea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C587A257A070,ACTIVE
New Arora Electronics,44690,hitachi toushi 3100f rsh318hbdw,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C587A617A975,ACTIVE
New Arora Electronics,61390,hitachi zunoh 3300f rmb222ibdo,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C587A867A059,ACTIVE
New Arora Electronics,61390,hitachi iconnect rmb324mbd,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C587ABB7A484,ACTIVE
New Arora Electronics,62890,hitachi kashikoi 5200x hp rmb517abxa,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C587ADE7A784,ACTIVE
New Arora Electronics,29820,hitachi kaze plus raw318kud,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C587B2B7A482,ACTIVE
New Arora Electronics,92990,hitachi star sumo rbz0390hud,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C587B5C7A095,ACTIVE
New Arora Electronics,70390,hitachi toushi 5100x rmc524hbeaw,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C587B887A085,ACTIVE
New Arora Electronics,51990,hitachi toushi 3100f rmh222hbdw,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C587BBE7A634,ACTIVE
New Arora Electronics,83990,hitachi star sumo rbz039hbdw,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C587C307A818,ACTIVE
New Arora Electronics,46990,hitachi toushi 3100s rsh317hbeaw,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C587C687A287,ACTIVE
New Arora Electronics,41290,hitachi merai 3100s rsg312ebeaz1,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C587C917A155,ACTIVE
New Arora Electronics,49090,hitachi kashikoi 5300x rsb512ibea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C587CB77A381,ACTIVE
New Arora Electronics,42890,hitachi zunoh 3300f rsb314ibdo,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C587CE47A327,ACTIVE
New Arora Electronics,51390,hitachi merai 3100x rsd318ebeaz1,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C587D347A839,ACTIVE
New Arora Electronics,34790,hitachi kaze plus raw518kudz1,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5851B67A255,ACTIVE
New Arora Electronics,62390,hitachi kashikoi 5300x rsb518ibea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5872F67A266,ACTIVE
New Arora Electronics,49090,hitachi zunoh 3300f rsb318ibdo,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5873A37A706,ACTIVE
New Arora Electronics,45390,hitachi toushi 5100x rsg512hbeaw,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5873D77A810,ACTIVE
New Arora Electronics,56490,hitachi merai 3100s rmd322hbea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5874B07A634,ACTIVE
New Arora Electronics,60690,hitachi merai 3100x rmc324hbea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5874DC7A673,ACTIVE
New Arora Electronics,72590,hitachi kashikoi 5400i rma524caea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5874FE7A424,ACTIVE
New Arora Electronics,62990,hitachi kashikoi 3300x rmb324ibea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5875AF7A263,ACTIVE
New Arora Electronics,56190,hitachi toushi 3100f rmh223hbdw,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5875D07A730,ACTIVE
New Arora Electronics,43690,hitachi iconnect rsb314mbd,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5875F67A403,ACTIVE
New Arora Electronics,49090,hitachi kashikoi 5100x+ rsb512hbeap,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5876AD7A597,ACTIVE
New Arora Electronics,29890,hitachi kaze plus eco raw218kxdai,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5876D17A153,ACTIVE
New Arora Electronics,37090,hitachi summer qc rav518hud,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5876F17A381,ACTIVE
New Arora Electronics,29090,hitachi kaze plus raw511kud,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5877A87A307,ACTIVE
New Arora Electronics,54390,hitachi toushi 3100s rmh322hbeaw,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5877DD7A882,ACTIVE
New Arora Electronics,49590,hitachi ace reidan rmi118hbh,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5877FE7A461,ACTIVE
New Arora Electronics,46790,hitachi ridaa 3100f rsc318hbd,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5878B07A647,ACTIVE
New Arora Electronics,41290,hitachi merai 3100s rsf312hbea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5878D87A745,ACTIVE
New Arora Electronics,36790,hitachi toushi 3100f rsf312hbdw,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5878F77A168,ACTIVE
New Arora Electronics,59090,hitachi zunoh 3100f rmb222hbdo,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5879AE7A053,ACTIVE
New Arora Electronics,26490,hitachi kaze plus raw218kud,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5879D07A450,ACTIVE
New Arora Electronics,38790,hitachi summer tm rat518hud,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C58514D7A134,ACTIVE
New Arora Electronics,58790,hitachi toushi 5100x rsd517hbeaw,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C58608D7A607,ACTIVE
New Arora Electronics,59990,hitachi kashikoi 5100x rsb518hbea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C58701E7A390,ACTIVE
New Arora Electronics,45990,hitachi kashikoi 3300x rsb314ibea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C58756F7A957,ACTIVE
New Arora Electronics,52290,hitachi kashikoi 5400x rsa512cbea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C58761B7A428,ACTIVE
New Arora Electronics,73890,hitachi kashikoi 5300x rmb524ibea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C58766D7A646,ACTIVE
New Arora Electronics,54090,hitachi ridaa 3100f rmc322hbd,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C58777D7A616,ACTIVE
New Arora Electronics,16000,ao smith x5 7.5 ltr ro,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C60296A7A091,ACTIVE
New Arora Electronics,14500,ao smith z1 10 ltr,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C60308E7A713,ACTIVE
New Arora Electronics,18500,ao smith x6 9 ltr,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C60327D7A197,ACTIVE
New Arora Electronics,70190,hitachi star sumo rbz130hbdw,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5853047A366,ACTIVE
New Arora Electronics,31290,hitachi summer qc rav513hud,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5862287A705,ACTIVE
New Arora Electronics,62190,hitachi merai 4100x rmc424hbea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5863547A213,ACTIVE
New Arora Electronics,77090,hitachi kashikoi 5400x rma524cbea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5866077A140,ACTIVE
New Arora Electronics,49690,hitachi kashikoi 5200x hp rsb512abxa,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5874307A895,ACTIVE
New Arora Electronics,70190,hitachi star sumo rbz130hbdwz1,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5874567A880,ACTIVE
New Arora Electronics,47590,hitachi kashikoi 5100x rse514hbea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5874717A470,ACTIVE
New Arora Electronics,65490,hitachi kashikoi 5400x rsa518cbea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5875427A840,ACTIVE
New Arora Electronics,39790,hitachi summer qc rav522hud,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5875917A123,ACTIVE
New Arora Electronics,54790,hitachi iconnect rsb318mbd,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5876357A611,ACTIVE
New Arora Electronics,33890,hitachi kaze reidan raw218kyh,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5876927A018,ACTIVE
New Arora Electronics,58290,hitachi ridaa 3100f rmc324hbd,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5877157A588,ACTIVE
New Arora Electronics,71590,hitachi kashikoi 5100x rmb524hbea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5877307A732,ACTIVE
New Arora Electronics,39690,hitachi zunoh 3100f rse312hbdo,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5877627A829,ACTIVE
New Arora Electronics,25190,hitachi kaze plus eco raw312kxdai,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5878267A368,ACTIVE
New Arora Electronics,63290,hitachi kashikoi 5400i rsa518caea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5878437A716,ACTIVE
New Arora Electronics,42790,hitachi merai 3100x rsg314hbea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5878877A321,ACTIVE
New Arora Electronics,42790,hitachi merai 4100x rsg412hbea,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5879197A403,ACTIVE
New Arora Electronics,47590,hitachi zunoh 3100f rsb318hbdo,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5879497A972,ACTIVE
New Arora Electronics,40490,hitachi ridaa 3100f rsg314hbd,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5879697A165,ACTIVE
New Arora Electronics,38890,hitachi ridaa 3100f rsg312hbd,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C5879837A700,ACTIVE
New Arora Electronics,19500,ao smith x8 ro (green series),10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C6029887A617,ACTIVE
New Arora Electronics,16000,ao smith x4 ro,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5C6030717A559,ACTIVE
New Arora Electronics,91278,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AF1CA7A960,ACTIVE
New Arora Electronics,89434,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AF2DF7A751,ACTIVE
New Arora Electronics,295962,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AF51D7A973,ACTIVE
New Arora Electronics,69842,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AF81C7A913,ACTIVE
New Arora Electronics,70072,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AF2477A451,ACTIVE
New Arora Electronics,129080,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AF6157A105,ACTIVE
New Arora Electronics,123548,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AF7897A757,ACTIVE
New Arora Electronics,138300,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AF9097A748,ACTIVE
New Arora Electronics,48405,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AFA177A496,ACTIVE
New Arora Electronics,75374,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AFB037A507,ACTIVE
New Arora Electronics,89434,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AFBCB7A356,ACTIVE
New Arora Electronics,82980,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AFBE47A280,ACTIVE
New Arora Electronics,109718,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AFC027A301,ACTIVE
New Arora Electronics,61774,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AFC257A255,ACTIVE
New Arora Electronics,57164,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AFCDD7A123,ACTIVE
New Arora Electronics,33212,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AFD257A115,ACTIVE
New Arora Electronics,76526,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AFD597A998,ACTIVE
New Arora Electronics,67767,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AFDBE7A864,ACTIVE
New Arora Electronics,52785,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AFE0B7A478,ACTIVE
New Arora Electronics,30166,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AFE837A765,ACTIVE
New Arora Electronics,129080,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AFF9C7A570,ACTIVE
New Arora Electronics,70072,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4AFF267A794,ACTIVE
New Arora Electronics,123548,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4B01C27A405,ACTIVE
New Arora Electronics,106952,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4B01DF7A597,ACTIVE
